group_name	categ	tick	meta_order
"guitar_003"	"vertical"	7	1
"guitar_005"	"vertical"	1	1
"guitar_005"	"vertical"	2	1
"guitar_005"	"vertical"	3	1
"guitar_005"	"vertical"	4	1
"guitar_005"	"vertical"	5	1
"guitar_005"	"vertical"	6	1
"guitar_005"	"vertical"	7	1
"guitar_006"	"vertical"	1	1
"guitar_006"	"vertical"	2	1
"guitar_006"	"vertical"	3	1
"guitar_006"	"vertical"	4	1
"guitar_006"	"vertical"	5	1
"guitar_006"	"vertical"	6	1
"guitar_006"	"vertical"	7	1
"guitar_007"	"vertical"	1	1
"guitar_007"	"vertical"	2	1
"guitar_007"	"vertical"	3	1
"guitar_007"	"vertical"	4	1
"guitar_007"	"vertical"	5	1
"guitar_007"	"vertical"	6	1
"guitar_007"	"vertical"	7	1
"person_001"	"vertical"	1	1
"person_001"	"vertical"	2	1
"person_001"	"vertical"	3	1
"person_001"	"vertical"	4	1
"person_001"	"vertical"	5	1
"person_001"	"vertical"	6	1
"person_001"	"vertical"	7	1
"person_002"	"vertical"	1	1
"person_002"	"vertical"	2	1
"person_002"	"vertical"	3	1
"person_002"	"vertical"	4	1
"person_002"	"vertical"	5	1
"person_002"	"vertical"	6	1
"person_002"	"vertical"	7	1
"person_003"	"vertical"	1	1
"person_003"	"vertical"	2	1
"person_003"	"vertical"	3	1
"person_003"	"vertical"	4	1
"person_003"	"vertical"	5	1
"person_003"	"vertical"	6	1
"person_003"	"vertical"	7	1
"person_004"	"vertical"	1	1
"person_004"	"vertical"	2	1
"person_004"	"vertical"	3	1
"person_004"	"vertical"	4	1
"person_004"	"vertical"	5	1
"person_004"	"vertical"	6	1
"person_004"	"vertical"	7	1
"person_006"	"vertical"	1	1
"person_006"	"vertical"	2	1
"person_006"	"vertical"	3	1
"person_006"	"vertical"	4	1
"person_006"	"vertical"	5	1
"person_006"	"vertical"	6	1
"person_006"	"vertical"	7	1
"person_007"	"vertical"	1	1
"person_007"	"vertical"	2	1
"person_007"	"vertical"	3	1
"person_007"	"vertical"	4	1
"person_007"	"vertical"	5	1
"person_007"	"vertical"	6	1
"person_007"	"vertical"	7	1
"person_009"	"vertical"	1	1
"person_009"	"vertical"	2	1
"person_009"	"vertical"	3	1
"person_009"	"vertical"	4	1
"person_009"	"vertical"	5	1
"person_009"	"vertical"	6	1
"person_009"	"vertical"	7	1
"person_010"	"vertical"	1	1
"person_010"	"vertical"	2	1
"person_010"	"vertical"	3	1
"person_010"	"vertical"	4	1
"person_010"	"vertical"	5	1
"person_010"	"vertical"	6	1
"person_010"	"vertical"	7	1
"person_011"	"vertical"	1	1
"person_011"	"vertical"	2	1
"person_011"	"vertical"	3	1
"person_011"	"vertical"	4	1
"person_011"	"vertical"	5	1
"person_011"	"vertical"	6	1
"person_011"	"vertical"	7	1
"person_012"	"vertical"	1	1
"person_012"	"vertical"	2	1
"person_012"	"vertical"	3	1
"person_012"	"vertical"	4	1
"person_012"	"vertical"	5	1
"person_012"	"vertical"	6	1
"person_012"	"vertical"	7	1
"person_013"	"vertical"	1	1
"person_013"	"vertical"	2	1
"person_013"	"vertical"	3	1
"person_013"	"vertical"	4	1
"person_013"	"vertical"	5	1
"person_013"	"vertical"	6	1
"person_013"	"vertical"	7	1
"person_014"	"vertical"	1	1
"person_014"	"vertical"	2	1
"person_014"	"vertical"	3	1
"person_014"	"vertical"	4	1
"person_014"	"vertical"	5	1
"person_014"	"vertical"	6	1
"person_014"	"vertical"	7	1
"person_015"	"vertical"	1	1
"person_015"	"vertical"	2	1
"person_015"	"vertical"	3	1
"person_015"	"vertical"	4	1
"person_015"	"vertical"	5	1
"person_015"	"vertical"	6	1
"person_015"	"vertical"	7	1
"tablelamp_001"	"vertical"	1	1
"tablelamp_001"	"vertical"	2	1
"tablelamp_001"	"vertical"	3	1
"tablelamp_001"	"vertical"	4	1
"tablelamp_001"	"vertical"	5	1
"tablelamp_001"	"vertical"	6	1
"tablelamp_001"	"vertical"	7	1
"tablelamp_002"	"vertical"	1	1
"tablelamp_002"	"vertical"	2	1
"tablelamp_002"	"vertical"	3	1
"tablelamp_002"	"vertical"	4	1
"tablelamp_002"	"vertical"	5	1
"tablelamp_002"	"vertical"	6	1
"tablelamp_002"	"vertical"	7	1
"tablelamp_004"	"vertical"	1	1
"tablelamp_004"	"vertical"	2	1
"tablelamp_004"	"vertical"	3	1
"tablelamp_004"	"vertical"	4	1
"tablelamp_004"	"vertical"	5	1
"tablelamp_004"	"vertical"	6	1
"tablelamp_004"	"vertical"	7	1
"tablelamp_005"	"vertical"	1	1
"tablelamp_005"	"vertical"	2	1
"tablelamp_005"	"vertical"	3	1
"tablelamp_005"	"vertical"	4	1
"tablelamp_005"	"vertical"	5	1
"tablelamp_005"	"vertical"	6	1
"tablelamp_005"	"vertical"	7	1
"tablelamp_006"	"vertical"	1	1
"tablelamp_006"	"vertical"	2	1
"tablelamp_006"	"vertical"	3	1
"tablelamp_006"	"vertical"	4	1
"tablelamp_006"	"vertical"	5	1
"tablelamp_006"	"vertical"	6	1
"tablelamp_006"	"vertical"	7	1
"tablelamp_008"	"vertical"	1	1
"tablelamp_008"	"vertical"	2	1
"tablelamp_008"	"vertical"	3	1
"tablelamp_008"	"vertical"	4	1
"tablelamp_008"	"vertical"	5	1
"tablelamp_008"	"vertical"	6	1
"tablelamp_008"	"vertical"	7	1
"tablelamp_009"	"vertical"	1	1
"tablelamp_009"	"vertical"	2	1
"tablelamp_009"	"vertical"	3	1
"tablelamp_009"	"vertical"	4	1
"tablelamp_009"	"vertical"	5	1
"tablelamp_009"	"vertical"	6	1
"tablelamp_009"	"vertical"	7	1
"tablelamp_010"	"vertical"	1	1
"tablelamp_010"	"vertical"	2	1
"tablelamp_010"	"vertical"	3	1
"tablelamp_010"	"vertical"	4	1
"tablelamp_010"	"vertical"	5	1
"tablelamp_010"	"vertical"	6	1
"tablelamp_010"	"vertical"	7	1
"chair_002"	"round"	1	2
"chair_002"	"round"	2	2
"chair_002"	"round"	3	2
"chair_002"	"round"	4	2
"chair_002"	"round"	5	2
"chair_002"	"round"	6	2
"chair_002"	"round"	7	2
"chair_003"	"round"	1	2
"chair_003"	"round"	2	2
"chair_003"	"round"	3	2
"chair_003"	"round"	4	2
"chair_003"	"round"	5	2
"chair_003"	"round"	6	2
"chair_003"	"round"	7	2
"chair_004"	"round"	1	2
"chair_004"	"round"	2	2
"chair_004"	"round"	3	2
"chair_004"	"round"	4	2
"chair_004"	"round"	5	2
"chair_004"	"round"	6	2
"chair_004"	"round"	7	2
"chair_005"	"round"	1	2
"chair_005"	"round"	2	2
"chair_005"	"round"	3	2
"chair_005"	"round"	4	2
"chair_005"	"round"	5	2
"chair_005"	"round"	6	2
"chair_005"	"round"	7	2
"chair_006"	"round"	1	2
"chair_006"	"round"	2	2
"chair_006"	"round"	3	2
"chair_006"	"round"	4	2
"chair_006"	"round"	5	2
"chair_006"	"round"	6	2
"chair_006"	"round"	7	2
"chair_007"	"round"	1	2
"chair_007"	"round"	2	2
"chair_007"	"round"	3	2
"chair_007"	"round"	4	2
